id,categoria,nivel,pergunta
1,Amigos FDP,Leve,"Quem venderia um amigo por R$ 50?"
2,Amigos FDP,Leve,"Quem culparia outra pessoa por algo que fez?"
3,Amigos FDP,Leve,"Quem pegaria a última fatia de pizza sem perguntar?"
4,Amigos FDP,Leve,"Quem fingiria que não viu sua mensagem?"
5,Amigos FDP,Leve,"Quem faria um grupo novo sem convidar alguém?"
6,Amigos FDP,Leve,"Quem esqueceria seu aniversário e inventaria uma desculpa?"
7,Amigos FDP,Leve,"Quem faria um pix errado e fingiria que não percebeu?"
8,Amigos FDP,Leve,"Quem pisaria no seu pé e diria que a culpa foi sua?"
9,Amigos FDP,Leve,"Quem contaria um segredo por acidente?"
10,Amigos FDP,Leve,"Quem sairia da festa sem avisar ninguém?"
11,Caos,Médio,"Quem começaria uma discussão só porque está entediado?"
12,Caos,Médio,"Quem colocaria fogo no parquinho só para ver a reação das pessoas?"
13,Caos,Médio,"Quem faria uma pegadinha que saiu completamente do controle?"
14,Caos,Médio,"Quem mudaria todos os móveis da casa de um amigo enquanto ele dorme?"
15,Caos,Médio,"Quem esconderia o controle remoto só para irritar alguém?"
16,Caos,Médio,"Quem responderia 'depende' para qualquer pergunta séria?"
17,Caos,Médio,"Quem inventaria uma fofoca só para ver até onde ela chega?"
18,Caos,Médio,"Quem faria uma aposta absurda sem pensar nas consequências?"
19,Caos,Médio,"Quem apertaria todos os botões do elevador?"
20,Caos,Médio,"Quem faria um churrasco e esqueceria de comprar carne?"
21,Relacionamentos,Médio,"Quem voltaria com o ex pela terceira vez?"
22,Relacionamentos,Médio,"Quem esqueceria a data de namoro?"
23,Relacionamentos,Médio,"Quem terminaria por mensagem?"
24,Relacionamentos,Médio,"Quem teria um namoro escondido do grupo?"
25,Relacionamentos,Médio,"Quem daria ghosting sem motivo?"
26,Relacionamentos,Médio,"Quem stalkeia pessoas no Instagram até hoje?"
27,Relacionamentos,Médio,"Quem se apaixonaria depois de uma conversa?"
28,Relacionamentos,Médio,"Quem faria uma declaração em público?"
29,Relacionamentos,Médio,"Quem mandaria mensagem bêbado?"
30,Relacionamentos,Médio,"Quem teria mais chance de casar em Las Vegas?"
31,Dinheiro,Alta,"Quem gastaria o salário inteiro em um fim de semana?"
32,Dinheiro,Alta,"Quem compraria algo parcelado em 36 vezes sem precisar?"
33,Dinheiro,Alta,"Quem pediria dinheiro emprestado e esqueceria de pagar?"
34,Dinheiro,Alta,"Quem venderia um presente que ganhou?"
35,Dinheiro,Alta,"Quem compraria algo só porque estava com 90% de desconto?"
36,Dinheiro,Alta,"Quem apostaria todas as economias em uma ideia maluca?"
37,Dinheiro,Alta,"Quem faria um investimento só porque viu no TikTok?"
38,Dinheiro,Alta,"Quem compraria um curso e nunca abriria?"
